SETOR;Subsetores;Produtos;CO_NCM;DESCRIÇÃO
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01011010;CAVALOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01011090;ASININOS E MUARES,REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01011100;CAVALOS REPRODUTORES,DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01011900;OUTROS CAVALOS,VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01012000;ASININOS E MUARES VIVOS
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01012100;CAVALOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01012900;CAVALOS VIVOS, EXCETO REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01013000;ANIMAIS ESPECIE ASININA/MUAR, REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01019000;ANIMAIS ESPECIE ASININA/MUAR, EXCETO REPROD. RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;CAVALOS VIVOS;01019010;CAVALOS VIVOS EXCETO REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);CAVALOS, ASININOS E MUARES VIVOS;ASININOS E MUARES VIVOS;01019090;ASININOS E MUARES.VIVOS,EXC.REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01021010;BOVINOS REPRODUT.DE RACA PURA,PRENHE OU COM CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01021090;BOVINOS REPRODUT.DE RACA PURA,EXC.PRENHE/COM CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022110;BOVINOS REPRODUTORES RACA PURA, PRENHE OU C/ CRIA AO PE
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022190;OUTROS BOVINOS REPRODUTORES DE RACA PURA
ANIMAIS VIVOS (EXCETO PESCADOS);BOVINOS E BUBALINOS VIVOS;BOVINOS VIVOS;01022911;OUTROS BOVINOS PARA REPRODUCAO, PRENHE OU C/ CRIA AO PE
