UF;ANO;SA;CH;ED;EP;IF;IN;PM;SF;SP;SS;RG
AC;2015;36,84;25,18;50,18;34,93;0,00;1,42;0,00;71,96;88,94;20,87;33,03
AL;2015;31,37;3,02;0,00;41,18;41,36;6,83;30,28;63,26;0,00;23,23;24,05
AM;2015;69,14;44,45;25,94;75,61;33,51;11,59;32,74;100,00;72,32;26,10;49,14
AP;2015;41,03;40,73;14,11;6,57;34,45;0,00;54,34;40,96;79,77;27,76;33,97
BA;2015;55,99;26,13;32,06;57,27;59,24;14,90;65,56;87,58;62,04;40,37;50,11
CE;2015;52,81;27,73;65,20;85,14;65,84;16,13;57,75;95,52;17,52;38,38;52,20
DF;2015;100,00;90,14;79,32;71,43;54,24;44,72;40,33;88,19;54,35;79,61;70,23
ES;2015;59,46;50,53;77,11;100,00;53,66;14,85;63,54;98,50;72,51;74,98;66,52
GO;2015;50,25;26,80;76,64;65,08;40,19;11,33;68,66;81,38;65,71;76,62;56,27
MA;2015;13,64;23,17;17,49;58,08;63,20;7,86;91,05;80,42;75,95;0,00;43,08
MG;2015;55,53;43,22;86,82;92,39;53,65;42,58;57,82;64,32;75,96;82,16;65,45
MS;2015;54,99;40,35;59,89;79,51;51,41;22,81;90,33;94,70;67,63;71,72;63,33
MT;2015;21,74;41,83;49,53;65,97;35,78;8,55;87,11;92,31;60,61;61,30;52,47
PA;2015;14,70;7,22;7,68;86,63;41,33;8,59;68,75;94,99;58,18;30,23;41,83
PB;2015;40,95;32,15;31,63;59,44;68,65;29,54;89,42;76,79;36,53;45,11;51,02
PE;2015;33,70;9,15;55,36;90,62;53,33;19,84;53,23;90,87;51,38;46,95;50,44
PI;2015;20,45;0,00;33,88;29,61;53,02;5,67;78,71;79,48;62,94;34,45;39,82
PR;2015;78,18;44,11;85,04;93,58;72,15;56,02;70,40;94,04;100,00;86,39;77,99
RJ;2015;55,57;100,00;70,14;82,46;47,11;60,23;50,62;83,10;51,97;73,13;67,43
RN;2015;30,19;38,99;17,08;65,00;62,03;22,54;54,35;0,00;49,46;52,59;39,22
RO;2015;0,00;11,86;54,81;29,49;41,81;6,96;56,96;74,63;71,84;61,09;40,94
RR;2015;75,93;13,16;33,20;0,00;62,15;1,03;67,52;82,96;91,20;31,84;45,90
RS;2015;39,07;27,60;74,42;99,55;52,48;75,84;68,00;55,90;76,92;92,23;66,20
SC;2015;40,83;57,15;84,09;93,86;68,36;62,27;53,94;93,17;92,49;100,00;74,62
SE;2015;34,96;1,74;24,63;35,82;47,57;10,25;48,06;78,94;17,25;46,86;34,61
SP;2015;71,82;56,14;100,00;94,67;100,00;100,00;100,00;80,20;94,64;90,53;88,80
TO;2015;26,24;40,40;59,64;21,81;41,36;5,32;45,68;70,50;78,93;51,92;44,18
AC;2016;33,52;31,08;45,57;42,68;0,00;1,41;51,50;1,79;88,48;19,41;31,55
AL;2016;37,38;12,00;0,00;24,60;50,38;7,66;0,00;21,64;0,00;3,94;15,76
AM;2016;82,39;70,47;25,43;65,15;16,51;11,78;27,06;64,77;75,41;19,45;45,84
AP;2016;49,05;69,56;14,60;14,67;29,77;0,00;73,18;74,43;83,07;31,62;43,99
BA;2016;49,08;33,83;23,33;55,49;44,87;15,67;15,04;62,84;64,65;38,71;40,35
CE;2016;52,91;40,80;65,55;87,30;56,16;16,83;41,74;69,53;16,77;35,84;48,34
DF;2016;100,00;87,91;77,55;92,77;54,29;45,41;40,85;39,73;54,51;86,74;67,97
ES;2016;60,23;58,42;77,02;100,00;49,77;16,04;39,80;62,92;74,23;71,12;60,96
GO;2016;67,60;36,54;74,99;66,56;28,98;11,84;42,76;46,81;65,30;73,45;51,48
MA;2016;0,00;30,32;21,33;56,68;45,04;7,56;48,22;43,79;73,88;0,00;32,68
MG;2016;57,54;51,17;87,63;94,39;63,35;44,54;0,20;0,00;76,51;81,17;55,65
MS;2016;49,36;60,49;60,73;81,78;62,43;23,66;58,09;92,93;67,94;71,87;62,93
MT;2016;9,44;51,17;52,63;72,49;49,70;8,84;84,52;73,70;62,54;63,39;52,84
PA;2016;16,03;23,60;5,10;90,52;24,85;9,50;34,63;94,41;62,37;17,68;37,87
PB;2016;46,26;35,10;29,29;56,66;73,86;30,98;62,56;61,34;38,82;38,28;47,31
PE;2016;45,61;42,06;55,36;86,99;56,20;20,89;31,05;58,42;53,83;42,06;49,25
PI;2016;15,85;7,29;30,45;16,75;45,27;6,57;43,91;45,55;62,75;32,77;30,72
PR;2016;95,99;55,10;83,19;99,62;64,99;58,13;30,26;73,90;100,00;89,60;75,08
RJ;2016;70,81;100,00;67,27;82,05;29,17;60,91;26,63;17,73;51,61;81,90;58,81
RN;2016;32,14;24,54;26,01;59,62;67,99;24,63;29,29;66,82;51,08;40,35;42,25
RO;2016;5,16;48,03;55,01;16,02;42,70;6,68;2,55;36,44;72,97;45,97;33,15
RR;2016;84,81;26,34;33,12;20,36;42,52;1,01;75,68;100,00;93,24;40,10;51,72
RS;2016;44,87;43,18;75,03;99,46;36,37;77,89;11,15;0,20;77,15;89,49;55,48
SC;2016;57,89;67,98;85,69;92,68;65,09;64,95;28,86;64,51;91,50;100,00;71,91
SE;2016;36,84;0,00;18,61;17,22;52,85;11,97;21,50;32,70;23,83;46,52;26,20
SP;2016;82,06;71,52;100,00;99,83;100,00;100,00;100,00;49,51;94,25;94,34;89,15
TO;2016;27,12;44,18;53,38;0,00;36,98;6,07;70,27;34,56;77,86;44,64;39,51
AC;2017;40,68;27,69;20,82;39,05;0,00;1,20;62,39;65,30;91,86;23,63;37,26
AL;2017;44,54;31,14;9,40;40,41;45,90;10,18;27,72;97,98;1,22;19,76;32,82
AM;2017;66,96;56,13;19,96;60,09;4,86;14,81;27,18;70,51;35,07;21,52;37,71
AP;2017;57,52;28,49;0,00;13,72;36,08;0,00;34,91;55,86;23,23;27,04;27,69
BA;2017;52,04;24,34;18,13;58,13;39,65;18,48;14,94;87,52;12,03;40,83;36,61
CE;2017;55,96;35,26;66,94;80,59;55,94;22,63;37,53;100,00;4,25;37,64;49,67
DF;2017;100,00;100,00;72,11;89,16;50,71;47,09;52,22;46,43;65,30;84,16;70,72
ES;2017;59,18;67,05;73,79;91,16;54,21;15,25;1,97;54,40;50,86;70,69;53,86
GO;2017;61,05;46,62;58,97;61,47;29,26;11,66;37,48;45,31;17,19;66,43;43,54
MA;2017;16,49;15,49;20,16;42,16;44,62;9,54;33,55;73,30;43,37;0,00;29,87
MG;2017;56,23;41,07;87,07;92,76;59,38;43,71;16,54;22,17;65,86;78,70;56,35
MS;2017;52,19;60,10;51,83;74,25;62,99;29,82;71,42;64,16;76,40;70,04;61,32
MT;2017;10,92;48,51;48,38;75,76;55,21;9,49;45,20;75,92;35,38;61,87;46,66
